Palavra,Frequência,Separação
louca,1697,'lou-ca
lembrar,1687,lem-'brar
aquela,1682,a-'que-la
tava,1681,'ta-va
vão,1677,'vão
calor,1673,ca-'lor
beijar,1667,bei-'jar
lindo,1659,'lin-do
canto,1647,'can-to
rio,1645,'ri-o
tarde,1642,'tar-de
junto,1636,'jun-to
conta,1609,'con-ta
canção,1609,can-'ção
esperança,1573,es-pe-'ran-ça
vento,1554,'ven-to
rua,1553,'ru-a
morena,1543,mo-'re-na
estar,1526,es-'tar
rosto,1524,'ros-to
peão,1523,pe-'ão
entender,1516,en-ten-'der
sentimento,1515,sen-ti-'men-to
inteiro,1514,in-'tei-ro
razão,1512,ra-'zão
levar,1496,le-'var
leva,1493,'le-va
ilusão,1484,i-lu-'são
dormir,1467,dor-'mir
veio,1463,'vei-o
abraço,1454,a-'bra-ço
som,1435,'som
chama,1426,'cha-ma
atrás,1424,a-'trás
pega,1417,'pe-ga
querida,1407,que-'ri-da
sobre,1394,'so-bre
cheiro,1381,'chei-ro
mariano,1359,ma-ri-'a-no
sim,1356,'sim
jamais,1355,ja-'mais
quarto,1352,'quar-to
amanhã,1341,a-ma-'nhã
neste,1338,'nes-te
doce,1337,'do-ce
passo,1337,'pas-so
pensamento,1306,pen-sa-'men-to
antes,1304,'an-tes
pedir,1294,pe-'dir
sorte,1290,'sor-te
ali,1283,a-'li
cerveja,1280,cer-'ve-ja
cima,1276,'ci-ma
beija,1271,'bei-ja
talvez,1267,tal-'vez
procurar,1245,pro-cu-'rar
matar,1240,ma-'tar
dói,1236,'dói
distante,1230,dis-'tan-te
mata,1230,'ma-ta
gostoso,1227,gos-'to-so
maior,1222,mai-'or
balada,1219,ba-'la-da
esperar,1211,es-pe-'rar
bar,1203,'bar
pegar,1188,pe-'gar
valor,1167,va-'lor
sonhar,1163,so-'nhar
menino,1158,me-'ni-no
pranto,1157,'pran-to
ar,1151,'ar
jogo,1145,'jo-go
dançar,1145,dan-'çar
horas,1144,'ho-ras
mesma,1144,'mes-ma
difícil,1142,di-'fí-cil
emoção,1136,e-mo-'ção
buscar,1130,bus-'car
brasil,1129,bra-'sil
mil,1122,'mil
roupa,1121,'rou-pa
boiada,1119,boi-'a-da
perdido,1117,per-'di-do
mesa,1116,'me-sa
fé,1112,'fé
cair,1112,ca-'ir
menos,1109,'me-nos
loucura,1109,lou-'cu-ra
repente,1109,re-'pen-te
tocar,1109,to-'car
diferente,1103,di-fe-'ren-te
bonito,1102,bo-'ni-to
perdão,1099,per-'dão
penso,1096,'pen-so
fácil,1093,'fá-cil
mato,1088,'ma-to
aonde,1079,a-'on-de
anjo,1078,'an-jo
mudar,1075,mu-'dar
trem,1066,'trem
acabar,1061,a-ca-'bar
frio,1061,'fri-o
cavalo,1055,ca-'va-lo
estrela,1050,es-'tre-la
liga,1049,'li-ga
contar,1041,con-'tar
cá,1038,'cá
tira,1037,'ti-ra
pessoa,1031,pes-'so-a
somente,1031,so-'men-te
vale,1025,'va-le
janela,1020,ja-'ne-la
tentar,1014,ten-'tar
errado,1008,er-'ra-do
cheio,1006,'chei-o
fundo,1006,'fun-do
três,994,'três
apenas,991,a-'pe-nas
contigo,988,con-'ti-go
olho,983,'o-lho
força,978,'for-ça
presente,978,pre-'sen-te
toca,974,'to-ca
juro,969,'ju-ro
oi,969,'oi
semana,967,se-'ma-na
encontro,967,en-'con-tro
entregar,960,en-tre-'gar
tirar,959,ti-'rar
rei,958,'rei
criança,956,cri-'an-ça
certeza,953,cer-'te-za
perfume,949,per-'fu-me
ano,949,'a-no
vira,940,'vi-ra
deste,933,'des-te
manda,931,'man-da
mulherada,931,mu-lhe-'ra-da
lembrança,921,lem-'bran-ça
moda,920,'mo-da
final,920,fi-'nal
trás,920,'trás
amanhecer,917,a-ma-nhe-'cer
qual,917,'qual
mel,913,'mel
galera,912,ga-'le-ra
chance,911,'chan-ce
pinga,907,'pin-ga
mente,898,'men-te
moça,890,'mo-ça
sorrir,890,sor-'rir
acontecer,884,a-con-te-'cer
telefone,882,te-le-'fo-ne
manhã,879,ma-'nhã
dono,877,'do-no
beleza,876,be-'le-za
briga,876,'bri-ga
tomar,876,to-'mar
ligar,876,li-'gar
amada,874,a-'ma-da
teve,871,'te-ve
daqui,870,da-'qui
caso,869,'ca-so
mora,869,'mo-ra
cor,866,'cor
azul,861,a-'zul
nova,860,'no-va
entrar,856,en-'trar
espera,856,es-'pe-ra
alto,842,'al-to
chamar,836,cha-'mar
graça,832,'gra-ça
direito,828,di-'rei-to
culpa,827,'cul-pa
saída,825,sa-'í-da
causa,823,'cau-sa
cabelo,817,ca-'be-lo
instante,815,ins-'tan-te
cheia,814,'chei-a
luar,805,lu-'ar
bater,805,ba-'ter
morte,800,'mor-te
além,798,a-'lém
tal,786,'tal
pego,785,'pe-go
ciúme,783,ci-'ú-me
copo,779,'co-po
bis,778,'bis
silêncio,776,si-'lên-ci-o
desde,776,'des-de
desespero,775,de-ses-'pe-ro
acreditar,774,a-cre-di-'tar
sofrimento,773,so-fri-'men-to
fugir,766,fu-'gir
deve,763,'de-ve
namorar,762,na-mo-'rar
boiadeiro,761,boi-a-'dei-ro
ganhar,758,ga-'nhar
cachaça,756,ca-'cha-ça
mostrar,752,mos-'trar
abrir,750,a-'brir
naquele,749,na-'que-le
santo,746,'san-to
gostar,745,gos-'tar
levo,745,'le-vo
algum,742,al-'gum
preto,741,'pre-to
quatro,740,'qua-tro
dê,734,'dê
parte,732,'par-te
orgulho,732,or-'gu-lho
morro,731,'mor-ro
castigo,726,cas-'ti-go
cedo,726,'ce-do
ó,719,'ó
dança,718,'dan-ça
saio,716,'sai-o
falo,715,'fa-lo
indo,715,'in-do
casar,712,ca-'sar
chego,709,'che-go
bicho,709,'bi-cho
rolar,709,ro-'lar
perigo,708,pe-'ri-go
senhora,700,se-'nho-ra
cansado,699,can-'sa-do
mentira,699,men-'ti-ra
violeiro,698,vi-o-'lei-ro
acordar,696,a-cor-'dar
seguir,690,se-'guir
atenção,688,a-ten-'ção
campo,688,'cam-po
irmão,688,ir-'mão
ouro,688,'ou-ro
esconder,688,es-con-'der
nenhum,687,ne-'nhum
motivo,685,mo-'ti-vo
pele,683,'pe-le
ruim,680,ru-'im
dó,679,'dó
abraçar,678,a-bra-'çar
rosa,672,'ro-sa
anda,672,'an-da
solteiro,672,sol-'tei-ro
metade,670,me-'ta-de
meia,669,'mei-a
joga,668,'jo-ga
dele,667,'de-le
achar,667,a-'char
daquele,666,da-'que-le
amiga,664,a-'mi-ga
andar,663,an-'dar
voar,661,vo-'ar
laço,659,'la-ço
toma,658,'to-ma
vergonha,655,ver-'go-nha
sentido,654,sen-'ti-do
brilho,651,'bri-lho
trabalho,650,tra-'ba-lho
volte,650,'vol-te
rodeio,649,ro-'dei-o
gado,642,'ga-do
perfeito,642,per-'fei-to
apaixonar,642,a-pai-xo-'nar
pau,639,'pau
começo,638,co-'me-ço
feira,637,'fei-ra
caboclo,635,ca-'bo-clo
bola,631,'bo-la
dona,626,'do-na
vazio,626,va-'zi-o
pecado,625,pe-'ca-do
capaz,624,ca-'paz
papai,620,pa-'pai
sono,617,'so-no
quente,617,'quen-te
pior,617,pi-'or
coragem,613,co-'ra-gem
sério,610,'sé-ri-o
cadê,610,ca-'dê
morar,608,mo-'rar
segundo,607,se-'gun-do
quê,607,'quê
velha,605,'ve-lha
cuidado,605,cui-'da-do
moço,603,'mo-ço
amado,601,a-'ma-do
toque,601,'to-que
corre,599,'cor-re
sangue,598,'san-gue
rumo,598,'ru-mo
simples,597,'sim-ples
conhecer,597,co-nhe-'cer
contra,596,'con-tra
quanta,593,'quan-ta
natureza,591,na-tu-'re-za
espelho,590,es-'pe-lho
futuro,590,fu-'tu-ro
lar,589,'lar
livre,587,'li-vre
bebida,584,be-'bi-da
valer,584,va-'ler
mamãe,581,ma-'mãe
verão,581,ve-'rão
brincar,580,brin-'car
bela,579,'be-la
confesso,577,con-'fes-so
jardim,574,jar-'dim
ponto,572,'pon-to
beira,569,'bei-ra
glória,569,'gló-ri-a
procura,569,pro-'cu-ra
apagar,565,a-pa-'gar
bota,565,'bo-ta
mês,563,'mês
grito,563,'gri-to
sabor,563,sa-'bor
bobo,559,'bo-bo
alô,555,a-'lô
filha,554,'fi-lha
direção,554,di-re-'ção
ontem,552,'on-tem
aquilo,550,a-'qui-lo
realidade,550,re-a-li-'da-de
igreja,548,i-'gre-ja
despedida,548,des-pe-'di-da
chapéu,546,cha-'péu
curar,545,cu-'rar
machucar,545,ma-chu-'car
enganar,542,en-ga-'nar
verde,541,'ver-de
violão,541,vi-o-'lão
cruz,540,'cruz
vir,537,'vir
café,535,ca-'fé
amante,534,a-'man-te
celular,534,ce-lu-'lar
casamento,533,ca-sa-'men-to
nascer,530,nas-'cer
distância,530,dis-'tân-ci-a
pagar,525,pa-'gar
cuidar,525,cui-'dar
problema,524,pro-'ble-ma
guerra,523,'guer-ra
pedra,522,'pe-dra
